ID_REF	logFC	AveExpr	t	P.Value	adj.P.Val	B	response_reference	SYMBOL	ENTREZID
219509_PM_at	0.00282938689217744	4.28886206896552	0.0823442075214234	0.934560088390681	0.996307500447857	-5.28395205032149	responder_vs_nonresponder	MYOZ1	58529
214575_PM_s_at	-0.00401749471458758	5.08206206896552	-0.0822533153154077	0.934632156812051	0.996307500447857	-5.28395771717387	responder_vs_nonresponder	AZU1	566
1552882_PM_a_at	0.00558520084566577	6.03302413793103	0.0821138751712829	0.934742719947813	0.996307500447857	-5.28396639867912	responder_vs_nonresponder	AMER1	139285
207427_PM_at	-0.0041090380549685	4.34728045977011	-0.0815348796655593	0.935201823495833	0.996466821923127	-5.28400228924773	responder_vs_nonresponder	ACR	49
200043_PM_at	-0.00439159619450376	10.2368908045977	-0.0813986697757779	0.935309831745165	0.99650697649463	-5.28401069568471	responder_vs_nonresponder	ERH	2079
237173_PM_at	0.00583578224101472	5.41262298850575	0.0813096949393429	0.935380385398942	0.99650697649463	-5.28401617933807	responder_vs_nonresponder	LOC105369199	105369199
1560794_PM_at	-0.00325798097251578	3.23589655172414	-0.0812347064756356	0.935439848793149	0.99650697649463	-5.28402079633376	responder_vs_nonresponder	TMEM252-DT	105376072
200812_PM_at	0.00416035940803307	10.1751517241379	0.0806817791856841	0.935878313300333	0.996516421225272	-5.28405470825587	responder_vs_nonresponder	CCT7	10574
224548_PM_at	-0.00462235729386866	4.86475402298851	-0.0806263752893639	0.935922248997976	0.996516421225272	-5.28405809350196	responder_vs_nonresponder	HES7	84667
204776_PM_at	0.00548842494714595	6.27101494252874	0.0803812650971513	0.936116625564328	0.996626411529823	-5.28407304213981	responder_vs_nonresponder	THBS4	7060
1556436_PM_at	0.00445909090909087	4.04184482758621	0.0798544870454811	0.936534382642007	0.996753500239636	-5.28410501498189	responder_vs_nonresponder	EXTL3-AS1	101929402
1560617_PM_at	-0.00399027484143743	5.42444597701149	-0.0798256265266932	0.936557270757819	0.996753500239636	-5.28410676060061	responder_vs_nonresponder	MRAP-AS1	105372779
221307_PM_at	-0.00284894291754772	3.47708735632184	-0.0797289631515104	0.93663393097826	0.996784112106384	-5.28411260265694	responder_vs_nonresponder	KCNIP1	30820
1568665_PM_at	-0.00801834038054973	3.99274827586207	-0.0793251555400349	0.936954182616878	0.996839929273631	-5.28413693109072	responder_vs_nonresponder	RNF103	7844
227571_PM_at	-0.00409545454545474	6.37157126436782	-0.0791218042735998	0.937115460318884	0.996839929273631	-5.28414913575451	responder_vs_nonresponder	LOC105371763	105371763
1570230_PM_at	-0.00350702959830891	3.42956436781609	-0.0791159540970371	0.937120100127391	0.996839929273631	-5.28414948640482	responder_vs_nonresponder	EVA1A-AS	101927884
205081_PM_at	-0.00795850951374288	10.3411505747126	-0.0790594973720359	0.937164876390617	0.996839929273631	-5.28415286899922	responder_vs_nonresponder	CRIP1	1396
236378_PM_at	0.00278387949260064	3.80438275862069	0.0789373909796786	0.93726172060153	0.996839929273631	-5.28416017672399	responder_vs_nonresponder	CIB4	130106
204965_PM_at	-0.00287795983086673	3.26762528735632	-0.0785901967104395	0.937537090167653	0.996839929273631	-5.28418089361814	responder_vs_nonresponder	GC	2638
1559333_PM_at	0.00328002114164876	3.44526206896552	0.0784865724668008	0.937619278951504	0.996839929273631	-5.28418705912846	responder_vs_nonresponder	SRGAP3-AS2	101927416
1561277_PM_at	-0.00274857293868898	5.91325287356322	-0.0783701911666513	0.937711586704005	0.996839929273631	-5.28419397397038	responder_vs_nonresponder	LOC339298	339298
227666_PM_at	0.00597029598308677	6.29797356321839	0.078285114206016	0.937779065978765	0.996839929273631	-5.28419902236127	responder_vs_nonresponder	DCLK2	166614
1562520_PM_at	-0.00270211416490483	3.60627356321839	-0.0781251385488271	0.937905952810744	0.996839929273631	-5.2842085003271	responder_vs_nonresponder	LOC101929473	101929473
212664_PM_at	-0.00315137420718826	3.66463333333333	-0.0780523040337602	0.937963723011944	0.996839929273631	-5.28421280908081	responder_vs_nonresponder	TUBB4A	10382
223304_PM_at	-0.00729048625792767	7.85960574712644	-0.0777825434024736	0.938177692123594	0.996839929273631	-5.28422873261427	responder_vs_nonresponder	SLC37A3	84255
237490_PM_at	0.00454170190274853	3.53583793103448	0.0777138914785792	0.938232146277205	0.996839929273631	-5.28423277622748	responder_vs_nonresponder	LOC102724938	102724938
203830_PM_at	0.00518604651162854	6.8584632183908	0.0775619749646357	0.938352646277687	0.996839929273631	-5.28424171145286	responder_vs_nonresponder	C17orf75	64149
1553612_PM_at	0.00677875264270647	5.2653367816092	0.0774890953551696	0.93841045480817	0.996839929273631	-5.28424599178507	responder_vs_nonresponder	ZNF354B	117608
224197_PM_s_at	0.00609497885835093	5.45749655172414	0.077452098267715	0.938439801239673	0.996839929273631	-5.28424816314169	responder_vs_nonresponder	C1QTNF1	114897
202275_PM_at	-0.00895063424947103	6.15369885057471	-0.077297114763906	0.938562736510278	0.996839929273631	-5.28425724784482	responder_vs_nonresponder	G6PD	2539
223293_PM_at	-0.00641448202959875	6.50610689655172	-0.077261331390561	0.938591120637584	0.996839929273631	-5.28425934278166	responder_vs_nonresponder	WDR24	84219
201004_PM_at	-0.00324053911205186	12.6097551724138	-0.0771927311996392	0.938645535979392	0.996839929273631	-5.28426335626639	responder_vs_nonresponder	SSR4	6748
1553895_PM_at	-0.00308403805496848	4.15126206896552	-0.0770299592661467	0.938774651805997	0.996839929273631	-5.28427286504783	responder_vs_nonresponder	C11orf42	160298
226515_PM_at	0.00489503171247325	8.30920574712644	0.0767544419125342	0.938993204581625	0.996839929273631	-5.28428891443743	responder_vs_nonresponder	CCDC127	133957
214418_PM_at	0.00337262156448196	5.11298965517241	0.0767196420145797	0.939020809761066	0.996839929273631	-5.28429093750526	responder_vs_nonresponder	CT62	196993
221697_PM_at	-0.0130426004228328	5.46292183908046	-0.0766479192607894	0.939077704401141	0.996839929273631	-5.28429510416409	responder_vs_nonresponder	MAP1LC3C	440738
227365_PM_at	0.00282336152219866	3.3876	0.0764373187239802	0.939244766764724	0.996839929273631	-5.28430731626528	responder_vs_nonresponder	ATCAY	85300
1554250_PM_s_at	0.00930459830866812	6.40649655172414	0.0761099773015253	0.939504441165482	0.996839929273631	-5.28432623113437	responder_vs_nonresponder	TRIM73	375593
203444_PM_s_at	0.00370301268498951	4.02465977011494	0.0760065204489506	0.939586513094661	0.996839929273631	-5.28433219233368	responder_vs_nonresponder	MTA2	9219
209742_PM_s_at	-0.0041974101479916	4.7798367816092	-0.0759157329501674	0.939658535011174	0.996839929273631	-5.28433741684411	responder_vs_nonresponder	MYL2	4633
225082_PM_at	0.00403282241014837	10.0344045977011	0.0758257053535838	0.939729954591369	0.996839929273631	-5.28434259145968	responder_vs_nonresponder	CPSF3	51692
238979_PM_at	-0.00505628964059217	6.04098045977011	-0.0758253199978545	0.939730260298073	0.996839929273631	-5.28434261359599	responder_vs_nonresponder	HPS1-AS1	101927278
210168_PM_at	0.00404513742071828	4.58954022988506	0.0757342179467627	0.939802532755283	0.996839929273631	-5.2843478436931	responder_vs_nonresponder	C6	729
231312_PM_at	0.0055895348837208	6.20031264367816	0.0755547675976688	0.939944894555508	0.996839929273631	-5.28435812740898	responder_vs_nonresponder	LOC101928487	101928487
1552917_PM_at	-0.00310665961945015	4.11827816091954	-0.0753843962345443	0.940080055608421	0.996839929273631	-5.28436786826563	responder_vs_nonresponder	IFNL1	282618
208504_PM_x_at	-0.00337896405919659	4.31163448275862	-0.075341032641664	0.940114457614384	0.996839929273631	-5.28437034403679	responder_vs_nonresponder	PCDHB11	56125
201268_PM_at	0.0028691860465127	12.3108931034483	0.0752661494626048	0.940173865587863	0.996839929273631	-5.28437461601201	responder_vs_nonresponder	NME2	4831
217901_PM_at	0.00818372093023158	11.4379448275862	0.0751812523786861	0.940241218422529	0.996839929273631	-5.28437945412836	responder_vs_nonresponder	DSG2	1829
1553912_PM_at	0.0031052325581397	3.56725977011494	0.075049275636994	0.94034592261876	0.996839929273631	-5.28438696438088	responder_vs_nonresponder	LINC00955	285492
238525_PM_at	-0.00304022198731447	6.11736781609195	-0.0750443530358925	0.940349828001362	0.996839929273631	-5.28438724425059	responder_vs_nonresponder	DDX56	54606
241126_PM_at	0.00317552854122628	3.92961724137931	0.0749327181065757	0.940438394803575	0.996839929273631	-5.28439358621837	responder_vs_nonresponder	GSTCD-AS1	101929529
204013_PM_s_at	-0.00379677589852015	3.22476206896552	-0.0747160283939594	0.940610310114243	0.996839929273631	-5.28440586939198	responder_vs_nonresponder	LCMT2	9836
1559034_PM_at	-0.00816786469344589	5.06474482758621	-0.0746310872322521	0.940677700727917	0.996839929273631	-5.28441067462428	responder_vs_nonresponder	SIRPB2	284759
207933_PM_at	-0.00332595137420717	3.78104022988506	-0.0746288477217019	0.940679477516508	0.996839929273631	-5.28441080124237	responder_vs_nonresponder	ZP2	7783
226093_PM_at	-0.00446654334038145	8.09113103448276	-0.0746267117870601	0.94068117213006	0.996839929273631	-5.28441092200091	responder_vs_nonresponder	DCP1B	196513
234851_PM_at	-0.0068131078224103	7.28466896551724	-0.0745357692073286	0.9407533246511	0.996839929273631	-5.28441606038194	responder_vs_nonresponder	IGLV2-5	28818
1562805_PM_at	0.00263313953488313	4.11172643678161	0.0745206907385345	0.940765287736917	0.996839929273631	-5.28441691173074	responder_vs_nonresponder	TLR8-AS1	349408
1560712_PM_at	-0.00184127906976753	3.06321494252874	-0.0740769890404366	0.941117321696851	0.996839929273631	-5.28444188657657	responder_vs_nonresponder	TMPRSS11B	132724
218855_PM_at	-0.00439820295983128	5.81130344827586	-0.0740308976236735	0.941153891406294	0.996839929273631	-5.28444447239582	responder_vs_nonresponder	TPRA1	131601
221621_PM_at	-0.00727933403805543	8.2452908045977	-0.0739512650216719	0.941217073556581	0.996839929273631	-5.28444893614984	responder_vs_nonresponder	SNHG20	654434
226445_PM_s_at	-0.00469889006342625	8.86602528735632	-0.0737392619036059	0.941385283040122	0.996839929273631	-5.28446079643144	responder_vs_nonresponder	TRIM41	90933
220167_PM_s_at	-0.0100949260042284	4.83782873563218	-0.0736992674735674	0.941417016090766	0.996839929273631	-5.28446303005885	responder_vs_nonresponder	TP53TG3	24150
205883_PM_at	0.0131966701902747	5.84287931034483	0.0735916964689643	0.941502367348425	0.996839929273631	-5.28446903172208	responder_vs_nonresponder	ZBTB16	7704
220233_PM_at	0.00458097251585675	5.30014597701149	0.0735803147121915	0.941511398142182	0.996839929273631	-5.28446966622683	responder_vs_nonresponder	FBXO17	115290
206674_PM_at	-0.00546432346723083	5.70703333333333	-0.0734836005375472	0.941588135792918	0.996865286080175	-5.28447505384303	responder_vs_nonresponder	FLT3	2322
214567_PM_s_at	-0.0101205602537005	7.27161379310345	-0.0732635881559145	0.941762706190121	0.996876503563406	-5.28448728358948	responder_vs_nonresponder	XCL2	6846
214254_PM_at	0.00263039112050747	3.18200689655172	0.0732050721397926	0.941809136620913	0.996887079436145	-5.28449053012476	responder_vs_nonresponder	MAGEA4	4103
233106_PM_at	0.00241337209302342	3.52176781609195	0.0728814217002931	0.942065945656363	0.996957664524514	-5.28450843977508	responder_vs_nonresponder	FRMD6-AS1	145438
207209_PM_at	-0.00286183932346738	3.39642643678161	-0.0727628186473406	0.942160055933377	0.997007783780963	-5.28451498297548	responder_vs_nonresponder	CETN1	1068
210697_PM_at	-0.00512394291754813	3.69033793103448	-0.0727008167118615	0.942209254145073	0.99703581666287	-5.28451839931326	responder_vs_nonresponder	ZNF257	113835
228558_PM_at	0.00527431289640595	8.09740229885058	0.0726146108668141	0.942277658405136	0.99703581666287	-5.28452314445974	responder_vs_nonresponder	TEDC1	283643
230801_PM_at	-0.00416453488372071	5.73356666666667	-0.0725914625183421	0.942296026672483	0.99703597105809	-5.28452441768729	responder_vs_nonresponder	RPRD1B	58490
214534_PM_at	0.00675766384778078	6.16351954022988	0.0724886280130423	0.942377626464357	0.997069522717416	-5.28453006898223	responder_vs_nonresponder	H1-5	3009
1552937_PM_s_at	-0.00760702959830855	7.30083793103448	-0.0723055107789858	0.942522932601655	0.997108909995771	-5.28454011240216	responder_vs_nonresponder	ATRIP	84126
1563913_PM_at	0.00294022198731512	3.33508275862069	0.0722384112088145	0.942576177555086	0.997108909995771	-5.28454378624948	responder_vs_nonresponder	LINC02044	101929717
208531_PM_at	-0.00266564482029608	3.54095977011494	-0.0722219232273889	0.942589261163253	0.997108909995771	-5.28454468848035	responder_vs_nonresponder	SERPINA2	390502
241942_PM_at	-0.00270063424947113	3.48283793103448	-0.0721570302457309	0.942640755451464	0.997108909995771	-5.28454823745766	responder_vs_nonresponder	PXDNL	137902
244725_PM_at	-0.00294492600422834	5.40991264367816	-0.071860301591713	0.942876220548497	0.997108909995771	-5.28456442481721	responder_vs_nonresponder	DMRTA1	63951
225715_PM_at	0.00490628964059194	7.05419540229885	0.0718411450096457	0.942891422175423	0.997108909995771	-5.28456546756931	responder_vs_nonresponder	RPTOR	57521
217871_PM_s_at	0.00638091966173328	10.4861333333333	0.0717583845077483	0.942957096674463	0.997108909995771	-5.28456996928522	responder_vs_nonresponder	MIF	4282
1569496_PM_s_at	0.0044388477801275	6.33956436781609	0.0717556953990608	0.942959230620122	0.997108909995771	-5.28457011547091	responder_vs_nonresponder	LOC100130872	100130872
203560_PM_at	0.00936797040169095	9.28135287356322	0.0716722263662605	0.943025467785461	0.997108909995771	-5.28457465030199	responder_vs_nonresponder	GGH	8836
211320_PM_s_at	-0.00345761099365735	5.79801379310345	-0.0716004495403807	0.943082426876451	0.997108909995771	-5.28457854568098	responder_vs_nonresponder	PTPRU	10076
1562861_PM_at	-0.00380708245243136	4.88191379310345	-0.0715870277127681	0.943093077911095	0.997108909995771	-5.28457927365994	responder_vs_nonresponder	LINC01231	101929247
217499_PM_x_at	0.00618641649048625	8.39817356321839	0.0715290837665983	0.943139060067166	0.997108909995771	-5.28458241488289	responder_vs_nonresponder	OR7E37P	100506759
1560988_PM_a_at	-0.00232980972515858	3.84166666666667	-0.0712894731835226	0.943329208140133	0.997121359305794	-5.28459537750719	responder_vs_nonresponder	LINC00556	100861551
239887_PM_at	-0.00336115221987328	3.7251091954023	-0.071154735294151	0.943436133700735	0.997121359305794	-5.28460264755051	responder_vs_nonresponder	ITPR2-AS1	101928554
204087_PM_s_at	-0.00423752642706216	8.51909195402299	-0.0710007209082586	0.943558358011249	0.997121359305794	-5.28461094085117	responder_vs_nonresponder	SLC5A6	8884
214830_PM_at	0.00612811839323395	6.33783793103448	0.0709994295904654	0.94355938279414	0.997121359305794	-5.28461101030954	responder_vs_nonresponder	SLC38A6	145389
234397_PM_at	0.00429402748414323	4.62046551724138	0.0709883980911337	0.943568137336851	0.997121359305794	-5.28461160362864	responder_vs_nonresponder	ZNF861P	100302737
237439_PM_at	-0.00668715644820413	9.07424712643678	-0.0709744976915645	0.943579168634319	0.997121359305794	-5.28461235111762	responder_vs_nonresponder	USP43	124739
1568638_PM_a_at	-0.0106072938689218	4.86024367816092	-0.0709644007741621	0.943587181511557	0.997121359305794	-5.28461289398398	responder_vs_nonresponder	IDO2	169355
234925_PM_at	-0.00232431289640643	3.47310574712644	-0.0709212980925124	0.943621387709561	0.997121359305794	-5.284615210555	responder_vs_nonresponder	LINC00917	732275
206213_PM_at	0.00832869978858332	4.94755057471264	0.0708951313795141	0.943642153609855	0.997121359305794	-5.28461661620908	responder_vs_nonresponder	WNT10B	7480
202363_PM_at	-0.00954154334038022	6.38399770114943	-0.0708609011505915	0.943669318774233	0.997121359305794	-5.28461845424553	responder_vs_nonresponder	SPOCK1	6695
220308_PM_at	0.0036284355179702	4.68261609195402	0.0706399533226184	0.943844664925454	0.997121359305794	-5.28463029697134	responder_vs_nonresponder	CFAP45	25790
230985_PM_at	0.00380581395348803	4.46473103448276	0.0705607330533762	0.9439075355066	0.997121359305794	-5.28463453414367	responder_vs_nonresponder	SPATA31G1	138724
214509_PM_at	-0.00494878435517978	4.80875632183908	-0.070474481404492	0.94397598671683	0.997155165612127	-5.28463914199066	responder_vs_nonresponder	H3C11	8354
226623_PM_at	-0.00490058139534884	4.39255287356322	-0.0702122495142572	0.944184102308925	0.997169417899594	-5.28465311667071	responder_vs_nonresponder	PHYHIPL	84457
220160_PM_s_at	0.00625169133192336	7.05131264367816	0.0701736018267285	0.944214774674427	0.997176386270943	-5.28465517185237	responder_vs_nonresponder	KPTN	11133
207598_PM_x_at	-0.00349883720930209	7.50312068965517	-0.0700168766380261	0.944339158974907	0.997230754507788	-5.28466349448576	responder_vs_nonresponder	XRCC2	7516
230167_PM_at	0.00725153276955548	6.3788	0.0699211641894463	0.944415121444595	0.997272476499875	-5.28466856798701	responder_vs_nonresponder	ADAMTS14	140766
219596_PM_at	0.00752536997885825	5.72411034482759	0.0696989968771627	0.944591447173751	0.997339851837437	-5.28468031782793	responder_vs_nonresponder	THAP10	56906
208006_PM_at	0.00404751585623661	4.17334367816092	0.0695333666719384	0.944722903352756	0.997339851837437	-5.28468905324398	responder_vs_nonresponder	FOXI1	2299
226306_PM_at	0.00476368921775902	8.07339310344828	0.0691372201481455	0.945037320253676	0.997339851837437	-5.284709861913	responder_vs_nonresponder	SMIM29	221491
1552887_PM_at	0.00327653276955598	3.97411034482759	0.0690692125060627	0.945091298007614	0.997339851837437	-5.28471342224316	responder_vs_nonresponder	TBATA	219793
215940_PM_at	-0.0022775898520087	3.56433793103448	-0.0689557767732727	0.945181332666629	0.997339851837437	-5.2847193530254	responder_vs_nonresponder	LINC01361	101927498
215084_PM_s_at	0.00473800211416446	8.22507586206897	0.0687253762723705	0.94536420519351	0.997339851837437	-5.284731369095	responder_vs_nonresponder	LRRC42	115353
227688_PM_at	0.00669978858350929	4.31510229885057	0.0685154705885512	0.945530813209005	0.997339851837437	-5.28474228129448	responder_vs_nonresponder	LRCH2	57631
208695_PM_s_at	0.0012882135306551	13.1467298850575	0.0683351108728915	0.945673971698617	0.997339851837437	-5.28475163085211	responder_vs_nonresponder	RPL39	6170
244747_PM_at	-0.00365613107822371	4.03307931034483	-0.0683014422325137	0.945700695999872	0.997339851837437	-5.28475337345103	responder_vs_nonresponder	NPNT	255743
218302_PM_at	-0.00498118393234807	6.71644712643678	-0.0683005044707437	0.945701440344096	0.997339851837437	-5.28475342197479	responder_vs_nonresponder	PSENEN	55851
1553889_PM_at	-0.0034515327695563	4.35147816091954	-0.0682585350525238	0.94573475343206	0.997339851837437	-5.28475559296767	responder_vs_nonresponder	MRGPRX2	117194
218117_PM_at	-0.00383657505285495	9.72833103448276	-0.0680435057156594	0.945905433775169	0.997339851837437	-5.2847666950688	responder_vs_nonresponder	RBX1	9978
1557702_PM_at	-0.00363853065539049	4.53574482758621	-0.0680207800394861	0.945923472513619	0.997339851837437	-5.28476786636347	responder_vs_nonresponder	LOC101927604	101927604
207619_PM_at	-0.00250739957716717	4.77054252873563	-0.0680113745177476	0.945930938251177	0.997339851837437	-5.2847683510151	responder_vs_nonresponder	HCRTR1	3061
229551_PM_x_at	-0.00840258985200819	7.60193563218391	-0.0679190498057159	0.946004222275161	0.997339851837437	-5.28477310480404	responder_vs_nonresponder	ZNF367	195828
1556373_PM_a_at	-0.00752515856236801	5.03259885057471	-0.0677783289319277	0.9461159223193	0.997339851837437	-5.28478033808511	responder_vs_nonresponder	FAM185A	222234
1563031_PM_at	-0.00236992600422802	3.72822183908046	-0.0677547389478448	0.946134647452534	0.997339851837437	-5.28478154918049	responder_vs_nonresponder	SCN1A-AS1	101929680
200056_PM_s_at	-0.00584186046511632	7.98941264367816	-0.0676116948522513	0.946248192888669	0.997339851837437	-5.28478888394916	responder_vs_nonresponder	C1D	10438
202953_PM_at	0.00661617336152128	9.72676551724138	0.0675617113404439	0.946287869025563	0.997339851837437	-5.28479144326334	responder_vs_nonresponder	C1QB	713
230423_PM_at	0.00413572938689235	5.58098045977011	0.0675224264213312	0.946319052880518	0.997339851837437	-5.28479345344744	responder_vs_nonresponder	FOXD3-AS1	100996301
223795_PM_at	-0.00610803382663853	4.10393563218391	-0.0670254943106714	0.946713518295798	0.997421504155381	-5.28481878022231	responder_vs_nonresponder	TSPAN10	83882
225723_PM_at	-0.0060619978858344	8.72023793103448	-0.066926545235635	0.946792065801543	0.997421504155381	-5.28482380095563	responder_vs_nonresponder	CCDC167	154467
218233_PM_s_at	0.00306680761099347	11.2939885057471	0.0664801140420515	0.947146457217755	0.99743101514155	-5.28484636091703	responder_vs_nonresponder	PRICKLE4	29964
206437_PM_at	0.00473927061310732	6.43363103448276	0.066409550723924	0.947202473620804	0.99743101514155	-5.28484991294784	responder_vs_nonresponder	S1PR4	8698
1557027_PM_at	-0.00467737843551826	4.61036091954023	-0.0663707186755952	0.947233300397665	0.99743101514155	-5.28485186607452	responder_vs_nonresponder	LOC105371401	105371401
