SYMBOL	GSE12251_logFC	GSE12251_PValue	GSE12251_adjP	GSE16879_logFC	GSE16879_PValue	GSE16879_adjP	GSE23597_logFC	GSE23597_PValue	GSE23597_adjP	GSE12251_direction	GSE16879_direction	GSE23597_direction	max_same_direction_cohorts	nominal_p_lt_0_05_cohorts
B4GALT1	1.14439765762717	0.00238835109696382	0.146722580029772	0.5169852126903	0.280142124865452	0.775365521598161	0.537541092777942	0.0162340864691064	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
MMP3	-1.59305517433546	0.00240422489894574	0.146919701047851	-2.14860638730829	0.00036896365239472	0.31028576288925	-0.13999510579588	0.762491887235271	0.989345659789692	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
C8orf82	0.545854283783128	0.00240499556356336	0.146919701047851	0.451150562951581	0.0291215621646283	0.505498938987552	0.216619076623741	0.113290110970476	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
AGTRAP	-0.551326265581388	0.00241597149997029	0.147300630786717	-1.03542907211988	0.0467300498305226	0.542455514752404	-0.165483500934034	0.171318888946804	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
AXIN2	0.839363065062891	0.00242200762829919	0.147300630786717	1.03917432555208	0.0189463045060028	0.461221787908962	0.460305911130765	0.127520116656315	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
PFN2	0.728919030855886	0.00246609168721903	0.149317345513511	-0.643743967491485	0.0134004083021249	0.429716905524153	0.128936572175225	0.398351052634302	0.981860330071999	up_in_responders	up_in_nonresponders	up_in_responders	2	2
CTBP2	0.442099747290087	0.00250140276934819	0.150125352814613	1.43461891303398	0.00463463946393857	0.375462982800966	-0.446444601771707	0.0693572949204246	0.978703585101868	up_in_responders	up_in_responders	up_in_nonresponders	2	2
PTPRN2	1.34480761431579	0.00251337564931467	0.15051348699483	1.11081804446846	0.0472321450244285	0.542464044651176	-0.643834313605055	0.119639091717956	0.978703585101868	up_in_responders	up_in_responders	up_in_nonresponders	2	2
GSE1	0.483868653190341	0.00253261331052302	0.150557671744641	0.396851441955544	0.0115373441527792	0.419266760360156	-0.422447269140229	0.0899470814140851	0.978703585101868	up_in_responders	up_in_responders	up_in_nonresponders	2	2
ZEB1	-0.92158256216026	0.00255395599965065	0.150751443723431	-0.930174218233645	0.00190663468040182	0.358334591272218	-0.316287251339939	0.165933496870431	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
SNX10	-0.769480429881878	0.00256050070284503	0.150751443723431	-1.02760742384356	0.0019847608079882	0.358334591272218	-0.0851914983815028	0.663356531277531	0.982848099114892	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
FASTK	0.35570942372419	0.00257079686709585	0.150751443723431	0.21384137381997	0.209918245192591	0.726655708832147	0.185515783007334	0.0370284589804055	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
OSMR	-0.741377702908443	0.00257199396034873	0.150751443723431	-0.914535580523566	0.0177856448685966	0.45478278696967	-0.138897570989666	0.477051498742296	0.982702442133709	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
DEGS2	0.474729486644437	0.00257625790297805	0.150751443723431	0.648054804842617	0.0152111028106053	0.441040184275328	-0.0132065240105577	0.916330323948549	0.995022858118828	up_in_responders	up_in_responders	up_in_nonresponders	2	2
CBX5	0.57819039924409	0.00260966850867841	0.151949974307069	0.718476137455289	0.0654686797340866	0.574835404602727	-0.47888849006726	0.0281100725511198	0.978703585101868	up_in_responders	up_in_responders	up_in_nonresponders	2	2
MMP19	-0.849436369569735	0.00262115236601604	0.152297030405873	-1.09045559765979	0.0483938362826757	0.543710588105441	-0.0872612433701824	0.700330224519204	0.986574120936684	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
ICAM1	-1.04785759508808	0.00264622435052764	0.152926533001077	-1.25028981372315	0.00513149141558672	0.38341297653168	-0.210867878611051	0.465502299430377	0.982702442133709	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
PTGS1	-0.732278967215806	0.00267693829609545	0.153797147306483	-0.894203508376445	0.0072922706569418	0.399193874011978	0.0610821830550239	0.739267488433505	0.98822626509309	up_in_nonresponders	up_in_nonresponders	up_in_responders	2	2
PHF20L1	-0.418223364323595	0.00269123417151477	0.154076678877037	-0.839093551929866	0.0359355458035976	0.520376685713323	-0.408294636903217	0.077138727074009	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
SH3BP5	-0.650222477928089	0.00269453232623476	0.154104136963269	-0.736983330235393	0.0205865127864332	0.469770711918782	-0.347723202751686	0.0713354463750771	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
CD44	-0.816720247422831	0.00270437718403177	0.154252694091527	-0.406126268097804	0.0144658012822711	0.438667601280183	-0.447054841091796	0.139633049116388	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
COL12A1	-1.13759488435038	0.00271252377080993	0.154252694091527	-1.66082785690755	0.015804172967996	0.443626700117451	-0.570543822478252	0.12685725145969	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
FGF7	-2.61701893071662	0.00271814262278556	0.154252694091527	-1.55136047477506	0.0109539079123812	0.416263542442543	-0.500324718740947	0.27748292127635	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
