pathway	pval	padj	log2err	ES	NES	size	leadingEdge	dataset_id	direction
HALLMARK_APICAL_JUNCTION	0.437262357414449	0.533246777334694	0.0629394692018967	-0.188248021493402	-1.00658983473784	200	PECAM1|MYH10|ITGB1|MSN|ADAM23|ACTN1|CDH6|DMP1|EPB41L2|CD34|NF1|PIK3R3|LAMA3|ACTN2|CADM2|PKD1|AKT2|NF2|THY1|CLDN11|PARVA|ADAMTS5|FBN1|SKAP2|PTEN|AKT3|JAM3|VWF|TRO|YWHAH|SLIT2|SGCE|PLCG1|MAP3K20|CNTN1|GNAI1|SPEG|CDH4|MAPK14|LAYN|SHROOM2|CD86|PTPRC|NEXN|NRTN|ITGA10|MAPK11|GAMT|KCNH2|NEGR1|FYB1|EGFR|CDH11|SYMPK|RSU1|GNAI2|MPZL1|CLDN5|NECTIN4|ACTN3|CDH8	GSE23597	up_in_nonresponders
HALLMARK_APICAL_SURFACE	0.44812030075188	0.533476548514143	0.070113215764256	-0.24580116128144	-0.995259740454869	44	MDGA1|NCOA6|THY1|NTNG1|ATP6V0A4|EPHB4|GSTM3|FLOT2|HSPB1|PKHD1|LYN|SHROOM2|CROCC|EFNA5|AKAP7|DCBLD2|MAL|SRPX|APP|GAS1|RTN4RL1	GSE23597	up_in_nonresponders
HALLMARK_COAGULATION	0.503968253968254	0.586009597637505	0.0582216241124161	-0.192358084318873	-0.975587416996835	138	PDGFB|PROZ|PECAM1|CTSO|GSN|SPARC|FBN1|CRIP2|SERPINE1|KLKB1|THBD|MASP2|A2M|VWF|ITGB3|CLU|APOC2|PRSS23|MST1|CFH|FGG|HMGCS2|MMP8|TIMP3	GSE23597	up_in_nonresponders
HALLMARK_ESTROGEN_RESPONSE_LATE	0.582159624413146	0.657276995305164	0.121543282035469	0.155505146076442	0.97148467062681	200	HR|LAMC2|TRIM29|FRK|PLK4|ALDH3A2|MAPT|AREG|TJP3|DYNLT3|NHERF1|CD9|ITPK1|ST14|OPN3|ID2|PDCD4|SORD|RBBP8|IL17RB|PLXNB1|SULT2B1|LSR|CDH1|IDH2|SLC22A5|KLF4|SFN|TOB1|LLGL2|UGDH|NCOR2|CKB|CLIC3|MEST|ADD3|SLC27A2|IMPA2|TOP2A|DHCR7|KRT19|SCNN1A|HPRT1|TFAP2C|MDK|FGFR3|CCN5|PKP3|PERP|SERPINA3|EEIG1|BTG3|FARP1|BAG1|HOMER2|MYB|ASS1	GSE23597	up_in_responders
HALLMARK_NOTCH_SIGNALING	0.591549295774648	0.657276995305164	0.0886261133285098	0.209950553859522	0.895535748364932	32	APH1A|ARRB1|TCF7L2|SKP1|PSEN2|FZD5|PPARD|NOTCH1|JAG1	GSE23597	up_in_responders
HALLMARK_UV_RESPONSE_UP	0.672703751617076	0.731199730018561	0.0438879842863647	-0.175072591311311	-0.907352126003558	158	NUP58|BID|WIZ|OLFM1|MSX1|EIF5|TYRO3|CYB5R1|FGF18|TACR3|HYAL2|SLC6A8|PLCL1|DLG4|IL6ST|UROD|CDC5L|RHOB|HTR7|NTRK3|BTG2|TGFBRAP1|CNP|LYN|SOD2|PPAT|ARRB2|CDKN1C|HNRNPU|FKBP4|BTG1|NFKBIA|PARP2|PDLIM3|CDO1|KCNH2|PPIF	GSE23597	up_in_nonresponders
HALLMARK_HEME_METABOLISM	0.694550063371356	0.738883046139741	0.041488040200221	-0.169760803050772	-0.907735960953134	200	TSPAN5|RCL1|ACKR1|CAT|TNRC6B|GYPE|SLC25A37|SEC14L1|FBXO9|HBB|BTRC|ELL2|FOXJ2|FOXO3|SLC6A8|FTCD|BACH1|RANBP10|SNCA|UROD|TRIM58|TAL1|RHD|BLVRA|NARF|EZH1|DAAM1|HEBP1|SLC11A2|SLC22A4|VEZF1|MGST3|SPTB|DCAF11|TRAK2|BTG2|EPB42|BNIP3L|RBM5|RIOK3|OSBP2|GYPA|PICALM|TFDP2|LRP10|MPP1	GSE23597	up_in_nonresponders
HALLMARK_SPERMATOGENESIS	0.923694779116466	0.942545692975986	0.0306322550486472	-0.149421126767537	-0.754298829359873	135	SHE|SYCP1|DMRT1|CHFR|CCNA1|PIAS2|PGK2|TNP2|NF2|MLLT10|PCSK4|OAZ3|CSNK2A2|JAM3|GSTM3|DMC1|VDAC3|SEPTIN4	GSE23597	up_in_nonresponders
HALLMARK_PANCREAS_BETA_CELLS	0.916041979010495	0.942545692975986	0.0364548541965309	-0.167743170354998	-0.665896787168814	40	AKT3|IAPP|STXBP1|PCSK2|LMO2|ABCC8|DPP4|NKX6-1|SEC11A|DCX|SST|SRPRB|MAFB|CHGA|PDX1|NEUROD1|ISL1|PKLR|SYT13	GSE23597	up_in_nonresponders
HALLMARK_KRAS_SIGNALING_DN	0.996197718631179	0.996197718631179	0.0238622865877092	-0.121743374714766	-0.650979715284065	200	GP2|NRIP2|KCNMB1|TGFB2|CCNA1|EPHA5|EFHD1|CAMK1D|TCF7L1|CD80|MTHFR|SPTBN2|TG|ZBTB16|KCND1|TENM2|MX1|SLC6A3|IDUA|MYO15A|CALCB|SLC16A7|CKM|ARPP21|BTG2|KRT4|SNN|CYP11B2|SLC25A23|SOX10|FGF22|PNMT|GAMT|GRID2|SCN10A|PTGFR|UGT2B17|MYOT|NR6A1|GP1BA|CDKAL1|CELSR2|TENT5C|IFNG|PRODH|KLHDC8A|IL12B|ADRA2C|KCNN1|YPEL1|NPY4R|EDN1|SGK1|EDN2|TAS2R4|PDE6B|IRS4|CHST2|DTNB|TFF2|FGGY|ABCG4	GSE23597	up_in_nonresponders
